choice,dataset,num_points,sampling_mode,psnr,lpips,ssim,quality
COLMAP,bicycle,17352,,21.33245086669922,0.36376556754112244,0.4795043170452118,0.3573433696410345
VGGT,bicycle,1000,confidence,18.248929977416992,0.6796619892120361,0.3301962912082672,0.017928704803372643
VGGT,bicycle,1000,imagefps,18.239673614501953,0.6945605278015137,0.3313649594783783,0.009244093653286637
VGGT,bicycle,1000,random,18.250102996826172,0.6826565265655518,0.3305303752422333,0.016297318317272175
VGGT,bicycle,1000,voxels,18.17292022705078,0.6976091861724854,0.33221903443336487,0.006625490966286321
VGGT,bicycle,5000,confidence,17.83434295654297,0.5569833517074585,0.30621522665023804,0.07195470703353046
VGGT,bicycle,5000,imagefps,17.939878463745117,0.5742349624633789,0.30846455693244934,0.06457532366194307
VGGT,bicycle,5000,random,17.85049819946289,0.5575035810470581,0.30527377128601074,0.07138219028420847
VGGT,bicycle,5000,voxels,17.95667839050293,0.5852620005607605,0.31117650866508484,0.059665556462110136
VGGT,bicycle,10000,confidence,17.82270050048828,0.520179033279419,0.2980472445487976,0.08968122335437681
VGGT,bicycle,10000,imagefps,17.84850311279297,0.536382794380188,0.30037569999694824,0.08151839769374558
VGGT,bicycle,10000,random,17.79636001586914,0.5176759958267212,0.29754316806793213,0.0904437398817572
VGGT,bicycle,10000,voxels,17.848243713378906,0.548616349697113,0.3017392158508301,0.07475939433709458
VGGT,bicycle,20000,confidence,17.686187744140625,0.5012032985687256,0.28853654861450195,0.09330481534812884
VGGT,bicycle,20000,imagefps,17.69634437561035,0.5015345215797424,0.2887648046016693,0.09342192550074213
VGGT,bicycle,20000,random,17.7264461517334,0.48495185375213623,0.28816816210746765,0.10386666676841674
VGGT,bicycle,20000,voxels,17.762632369995117,0.5180127024650574,0.2943577170372009,0.08774847338306513
VGGT,bicycle,23814,ba,17.808753967285156,0.5057863593101501,0.30061763525009155,0.09981047332557946
VGGT,bicycle,30000,confidence,17.685256958007812,0.4898262917995453,0.28608405590057373,0.09887621598711567
VGGT,bicycle,30000,imagefps,17.688344955444336,0.4831617772579193,0.2843153774738312,0.10201298412059019
VGGT,bicycle,30000,random,17.651588439941406,0.46718549728393555,0.2817900478839874,0.1097174081963483
VGGT,bicycle,30000,voxels,17.71851921081543,0.5034853219985962,0.2900615632534027,0.0933867112005431
VGGT,bicycle,50000,confidence,17.645341873168945,0.48337990045547485,0.2811870276927948,0.09925254247961612
VGGT,bicycle,50000,imagefps,17.63716697692871,0.4633345603942871,0.276795357465744,0.10890659401368755
VGGT,bicycle,50000,random,17.59831428527832,0.44869765639305115,0.27449196577072144,0.1158752129634067
VGGT,bicycle,50000,voxels,17.71558952331543,0.49058446288108826,0.2859232723712921,0.09887589786330009
VGGT,bicycle,75000,confidence,17.61536979675293,0.4818606376647949,0.2755573093891144,0.09634308763879554
VGGT,bicycle,75000,imagefps,17.579275131225586,0.44719237089157104,0.2690461277961731,0.11326712404775344
VGGT,bicycle,75000,random,17.592985153198242,0.4344175159931183,0.2684631943702698,0.12106582950352851
VGGT,bicycle,75000,voxels,17.672155380249023,0.4788699150085449,0.2811574637889862,0.1025157417082957
VGGT,bicycle,100000,confidence,17.63112449645996,0.47884395718574524,0.2726677358150482,0.09680718067329071
