method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
colmap,20,42,,90,,,,,0,10,farthestpose,20,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,10.803817749023438,0.5116662979125977,0.6762610673904419,90482,0.4237145185470581,122.38874053955078,62.407981872558594,0.9955559968948364,0.1861343622362559,0.3879167325498686,90,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_poseopt_steps15000,111.3893,0.022876,3,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n20_s42_default_mpinhole_farthestpose_sharedcam_i20_gteval_poseopt_steps15000_val_step14999.json,90,colmap | ,20.0
colmap,30,42,,908,,,,,0,10,farthestpose,30,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,10.538406372070312,0.5889235138893127,0.4653310477733612,1000000,1.0131611824035645,84.93254089355469,1.9595247507095337,2.8011839389801025,0.010178808580365201,0.46949150715818183,908,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_poseopt_steps15000,132.5397,3.729538,19,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n30_s42_default_mpinhole_farthestpose_sharedcam_i30_gteval_poseopt_steps15000_val_step14999.json,908,colmap | ,30.0
colmap,40,42,,2626,,,,,0,10,farthestpose,40,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,10.939847946166992,0.5101354718208313,0.6750530004501343,1000000,0.9174897074699402,174.978515625,1.8589297533035278,9.131108283996582,0.18889192244385344,0.38690578731349695,2626,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_poseopt_steps15000,173.622,3.771985,36,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n40_s42_default_mpinhole_farthestpose_sharedcam_i40_gteval_poseopt_steps15000_val_step14999.json,2626,colmap | ,40.0
colmap,87,42,,10092,,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,,,0.0,,colmap,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,gsplat,11.221860885620117,0.4955378472805023,0.6425514221191406,1000000,0.23845438659191132,12.908929824829102,3.42777943611145,,0.1841184926776626,0.38962825223326647,10092,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_steps15000,13.9256,0.818445,87,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_steps15000_val_step14999.json,10092,colmap | ,87.0
vggt,10,42,0.0,11000,random,,,,0,10,farthestpose,10,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,13.136817932128906,0.3578621745109558,0.6011791229248047,1000000,0.03324670344591141,2.4697299003601074,0.3654514253139496,0.0959400162100792,0.28037131638244966,0.34598308669519523,11000,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n10_s42_c0.0_p11000_random_farthestpose_i10_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n10_s42_c0.0_p11000_random_farthestpose_i10_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n10_s42_c0.0_p11000_random_farthestpose_i10_gteval_poseopt_steps15000,2.5925,0.160213,10,0.0811,0.0232,0.1102,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n10_s42_c0.0_p11000_random_farthestpose/eval_results.json,lego_1_n10_s42_c0.0_p11000_random_farthestpose,lego_1_n10_s42_c0.0_p11000_random_farthestpose_i10_gteval_poseopt_steps15000_val_step14999.json,11000,vggt | ,10.0
vggt,20,42,0.0,22000,random,,,,0,10,farthestpose,20,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,13.40362548828125,0.3248805105686188,0.6204947829246521,1000000,0.03137519955635071,2.142296314239502,0.18260180950164795,0.04792708903551102,0.3169669564704449,0.3288637117939095,22000,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n20_s42_c0.0_p22000_random_farthestpose_i20_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n20_s42_c0.0_p22000_random_farthestpose_i20_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n20_s42_c0.0_p22000_random_farthestpose_i20_gteval_poseopt_steps15000,2.2981,0.141203,20,0.0679,0.0194,0.1012,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n20_s42_c0.0_p22000_random_farthestpose/eval_results.json,lego_1_n20_s42_c0.0_p22000_random_farthestpose,lego_1_n20_s42_c0.0_p22000_random_farthestpose_i20_gteval_poseopt_steps15000_val_step14999.json,22000,vggt | ,20.0
vggt,30,42,0.0,33000,random,,,,0,10,farthestpose,30,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,13.655960083007812,0.31146693229675293,0.6312119364738464,1000000,0.0296151265501976,2.0720367431640625,0.1788140833377838,0.04707029089331627,0.3361871471801619,0.3206129636430396,33000,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_random_farthestpose_i30_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n30_s42_c0.0_p33000_random_farthestpose_i30_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n30_s42_c0.0_p33000_random_farthestpose_i30_gteval_poseopt_steps15000,2.2345,0.136023,30,0.0628,0.0179,0.099,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n30_s42_c0.0_p33000_random_farthestpose/eval_results.json,lego_1_n30_s42_c0.0_p33000_random_farthestpose,lego_1_n30_s42_c0.0_p33000_random_farthestpose_i30_gteval_poseopt_steps15000_val_step14999.json,33000,vggt | ,30.0
vggt,40,42,0.0,44000,random,,,,0,10,farthestpose,40,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,14.343804359436035,0.2634490430355072,0.6643169522285461,1000000,0.01359162200242281,1.1527273654937744,0.26618704199790955,0.07028230279684067,0.3979253348706216,0.2932037716679036,44000,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n40_s42_c0.0_p44000_random_farthestpose_i40_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n40_s42_c0.0_p44000_random_farthestpose_i40_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n40_s42_c0.0_p44000_random_farthestpose_i40_gteval_poseopt_steps15000,1.3219,0.069077,40,0.0545,0.0154,0.0943,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n40_s42_c0.0_p44000_random_farthestpose/eval_results.json,lego_1_n40_s42_c0.0_p44000_random_farthestpose,lego_1_n40_s42_c0.0_p44000_random_farthestpose_i40_gteval_poseopt_steps15000_val_step14999.json,44000,vggt | ,40.0
vggt,87,42,0.0,95700,random,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,20.479135513305664,0.0743449404835701,0.7770639657974243,1000000,0.006091239862143993,0.256033331155777,0.3933877944946289,0.10465787351131439,0.694207432025667,0.1851537987672575,95700,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_steps15000,0.3306,0.018825,87,0.0469,0.0133,0.1174,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n87_s42_c0.0_p95700_random_farthestpose/eval_results.json,lego_1_n87_s42_c0.0_p95700_random_farthestpose,lego_1_n87_s42_c0.0_p95700_random_farthestpose_i87_gteval_poseopt_steps15000_val_step14999.json,95700,vggt | ,87.0
vggt,10,42,0.0,11000,random,,,,0,10,farthestpose,10,GT Eval,,,,Pose Opt,,,closer,,1.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,,gsplat,13.3407621383667,0.34871387481689453,0.6125175952911377,1000000,0.033491380512714386,2.442078113555908,0.343318909406662,0.08998994529247284,0.29642584511333664,0.3391770937962453,11000,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n10_s42_c0.0_p11000_random_farthestpose_i10_gteval_poseopt_depthcloser_dl1.0_confdisabled_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/vggt_outputs/lego_1_n10_s42_c0.0_p11000_random_farthestpose_i10_gteval_poseopt_depthcloser_dl1.0_confdisabled_steps15000/stats/val_step14999.json,lego_1_n10_s42_c0.0_p11000_random_farthestpose_i10_gteval_poseopt_depthcloser_dl1.0_confdisabled_steps15000,2.5925,0.160213,10,0.0811,0.0232,0.1102,/home/ojab2/work/git/vggt/vggt_outputs/lego_1_n10_s42_c0.0_p11000_random_farthestpose/eval_results.json,lego_1_n10_s42_c0.0_p11000_random_farthestpose,lego_1_n10_s42_c0.0_p11000_random_farthestpose_i10_gteval_poseopt_depthcloser_dl1.0_confdisabled_steps15000_val_step14999.json,11000,vggt | closer,10.0
