method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,folder,rre,rte,num_aligned,plot_series,num_points_jitter
colmap,100,42,,16687,,farthestpose,100,GT Eval,,,,,,,,0.0,,colmap,,,15000,15000,default,MCMC,,,,Shared Cam,,,,,gsplat,21.16598129272461,0.37304171919822693,0.47317782044410706,1000000,0.0021039999555796385,0.10689998418092728,0.3448348745965122,16687,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_steps15000,0.1069,0.008457,100,colmap,16269.824999999999
vggt,100,42,0.0,1000,voxels,farthestpose,100,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,gsplat,17.851036071777344,0.7115545272827148,0.3261961042881012,1000000,0.015425998717546463,0.8569999933242798,-0.011465743348689772,980,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p1000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p1000_voxels_farthestpose_i100_gteval_steps15000,0.857,0.067143,100,vggt,1025.0
vggt,100,42,0.0,5000,voxels,farthestpose,100,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,gsplat,17.51272964477539,0.5924565196037292,0.30299580097198486,1000000,0.015425998717546463,0.8569999933242798,0.04221918266883843,4940,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p5000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p5000_voxels_farthestpose_i100_gteval_steps15000,0.857,0.067143,100,vggt,5125.0
vggt,100,42,0.0,10000,voxels,farthestpose,100,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,gsplat,17.401622772216797,0.5528735518455505,0.29297301173210144,1000000,0.015425998717546463,0.8569999933242798,0.05873429844951076,10703,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p10000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p10000_voxels_farthestpose_i100_gteval_steps15000,0.857,0.067143,100,vggt,10250.0
vggt,100,42,0.0,20000,voxels,farthestpose,100,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,gsplat,17.337535858154297,0.5294540524482727,0.2870464026927948,1000000,0.015425998717546463,0.8569999933242798,0.0685381316147198,20604,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p20000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p20000_voxels_farthestpose_i100_gteval_steps15000,0.857,0.067143,100,vggt,20500.0
vggt,100,42,0.0,30000,voxels,farthestpose,100,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,gsplat,17.328948974609375,0.5154411792755127,0.28275877237319946,1000000,0.015425998717546463,0.8569999933242798,0.07452165081254694,31293,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p30000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p30000_voxels_farthestpose_i100_gteval_steps15000,0.857,0.067143,100,vggt,30749.999999999996
vggt,100,42,0.0,50000,voxels,farthestpose,100,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,gsplat,17.269521713256836,0.5007368326187134,0.2775876820087433,1000000,0.015425998717546463,0.8569999933242798,0.07947387371534187,50809,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p50000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p50000_voxels_farthestpose_i100_gteval_steps15000,0.857,0.067143,100,vggt,51249.99999999999
vggt,100,42,0.0,75000,voxels,farthestpose,100,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,gsplat,17.276411056518555,0.48919475078582764,0.2732672393321991,1000000,0.015425998717546463,0.8569999933242798,0.08419962135362036,75983,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p75000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p75000_voxels_farthestpose_i100_gteval_steps15000,0.857,0.067143,100,vggt,76875.0
vggt,100,42,0.0,100000,voxels,farthestpose,100,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,gsplat,17.259553909301758,0.48186835646629333,0.2706991136074066,1000000,0.015425998717546463,0.8569999933242798,0.08690808968082353,102895,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p100000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p100000_voxels_farthestpose_i100_gteval_steps15000,0.857,0.067143,100,vggt,102499.99999999999
vggt,100,42,0.0,250000,voxels,farthestpose,100,GT Eval,,,,,,,,0.0,,vggt,,,15000,15000,,MCMC,,,,,,,,,gsplat,17.258148193359375,0.4767986238002777,0.26389122009277344,1000000,0.015425998717546463,0.8569999933242798,0.0860302982352011,271674,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n100_s42_c0.0_p250000_voxels_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_c0.0_p250000_voxels_farthestpose_i100_gteval_steps15000,0.857,0.067143,100,vggt,256249.99999999997
