choice,dataset_collection,num_images,rre,rte,psnr,lpips,ssim,num_aligned
COLMAP,indoor,10,0.1484,0.006143,12.353164672851562,0.7327916622161865,0.44888290762901306,5.0
COLMAP,indoor,20,3.136433333333333,0.6741830000000001,14.570541381835938,0.5762801071008047,0.41738203167915344,12.333333333333334
COLMAP,indoor,30,0.3512,0.036809,19.982391357421875,0.3052644282579422,0.5937698284784952,29.333333333333332
COLMAP,indoor,40,0.2154,0.07870733333333334,21.884223302205402,0.21507210036118826,0.6375210185845693,40.0
COLMAP,indoor,50,0.11466666666666665,0.006367,22.586004892985027,0.1954383005698522,0.6560013592243195,50.0
COLMAP,indoor,60,0.11176666666666667,0.006800666666666667,23.339313507080078,0.1758259137471517,0.6818718711535136,60.0
COLMAP,indoor,70,0.056633333333333334,0.0033406666666666667,25.554625193277996,0.15930306414763132,0.7597621281941732,70.0
COLMAP,indoor,80,0.0557,0.002888333333333333,25.75129572550456,0.1517017682393392,0.7610255281130472,80.0
COLMAP,indoor,90,0.06303333333333333,0.002761,25.279013951619465,0.15071665247281393,0.7363483210404714,90.0
COLMAP,indoor,100,0.0588,0.0024116666666666666,25.827604293823242,0.14725898702939352,0.753247340520223,100.0
VGGT,indoor,10,0.7541666666666668,0.06233266666666667,15.44419002532959,0.45689690113067627,0.4353942771752675,10.0
VGGT,indoor,20,0.5449666666666667,0.05542066666666667,17.593926747639973,0.36492930849393207,0.4930254916350047,20.0
VGGT,indoor,30,0.5050666666666667,0.05082233333333334,18.235877990722656,0.33314718802769977,0.5147918363412222,30.0
VGGT,indoor,40,0.45693333333333336,0.05188633333333333,18.59218915303548,0.31426510214805603,0.5221682588259379,40.0
VGGT,indoor,50,0.4967,0.05134433333333333,18.820532480875652,0.31237033506234485,0.5354803502559662,50.0
VGGT,indoor,60,0.5305,0.05338166666666667,19.085573196411133,0.30490078528722125,0.5404046177864075,60.0
VGGT,indoor,70,0.4950333333333334,0.053447,19.32529640197754,0.30036160349845886,0.5486253102620443,70.0
VGGT,indoor,80,0.4879,0.050974,19.730601628621418,0.2953339566787084,0.5660090446472168,80.0
VGGT,indoor,90,0.4834333333333333,0.050873,19.519412994384766,0.3014172514279683,0.5587140321731567,90.0
VGGT,indoor,100,0.46693333333333337,0.05147033333333333,19.734718322753906,0.2983420540889104,0.5660252372423807,100.0
COLMAP,outdoor,10,,,,,,
COLMAP,outdoor,20,0.21450000000000002,0.0046040000000000005,15.190753936767578,0.612982451915741,0.32559968531131744,11.5
COLMAP,outdoor,30,0.20784999999999998,0.006514,17.244657516479492,0.5704935640096664,0.3361997753381729,18.0
COLMAP,outdoor,40,0.0968,0.004885,18.612592061360676,0.49929264187812805,0.40732040007909137,23.333333333333332
COLMAP,outdoor,50,0.10236666666666666,0.006671,20.281578063964844,0.4123682876427968,0.44697242975234985,42.333333333333336
COLMAP,outdoor,60,0.08306666666666666,0.006667333333333333,21.239085515340168,0.3784243365128835,0.48810463150342304,59.666666666666664
COLMAP,outdoor,70,0.07590000000000001,0.005896333333333333,21.418373107910156,0.35488786300023395,0.4942073126633962,69.66666666666667
COLMAP,outdoor,80,0.06973333333333333,0.005143666666666667,21.849618911743164,0.3382701377073924,0.5148889621098837,79.66666666666667
COLMAP,outdoor,90,0.06453333333333333,0.004687333333333333,22.139759699503582,0.3207942644755046,0.5281437436739603,89.66666666666667
COLMAP,outdoor,100,0.060599999999999994,0.004071333333333333,22.831862767537434,0.30693817138671875,0.5689727862675985,99.66666666666667
VGGT,outdoor,10,3.052175,0.215067,15.609793663024902,0.49684496720631915,0.23465757568677267,8.0
VGGT,outdoor,20,1.0564666666666667,0.118705,16.772485097249348,0.4527285099029541,0.26499564448992413,20.0
VGGT,outdoor,30,4.371975,0.11356825000000001,17.326929092407227,0.4368915557861328,0.2834841658671697,23.0
VGGT,outdoor,40,0.7139000000000001,0.09032566666666668,17.49850336710612,0.44094552596410114,0.2964630126953125,40.0
VGGT,outdoor,50,0.7875666666666667,0.09413333333333333,17.589326858520508,0.45332927505175274,0.30611517528692883,50.0
VGGT,outdoor,60,0.7159666666666666,0.08722800000000001,17.793481190999348,0.455015629529953,0.3166850060224533,60.0
VGGT,outdoor,70,0.8055,0.08866866666666666,17.931982676188152,0.46027148763338727,0.3230428298314412,70.0
VGGT,outdoor,80,0.7784,0.090694,17.90712547302246,0.46814237038294476,0.32915201286474866,80.0
VGGT,outdoor,90,0.6525666666666666,0.08846366666666666,18.1535161336263,0.4685145815213521,0.3375694255034129,90.0
VGGT,outdoor,100,0.6518,0.08368333333333333,18.184816360473633,0.4750731786092122,0.3444889386494954,100.0
COLMAP,synthetic,10,,,,,,
COLMAP,synthetic,20,0.5408,0.007211,14.546066284179688,0.499622642993927,0.4738180339336395,3.0
COLMAP,synthetic,30,12.216149999999999,0.504457,16.44987392425537,0.3334607034921646,0.6097480952739716,10.0
COLMAP,synthetic,40,0.8388666666666666,0.03788366666666667,17.550739606221516,0.24207973728577295,0.6969512701034546,20.0
COLMAP,synthetic,50,12.600500000000002,0.5513506666666667,16.84933090209961,0.31404394408067066,0.6807311673959097,36.0
COLMAP,synthetic,60,14.458533333333333,0.6001566666666666,17.670305887858074,0.2907463436325391,0.7021050254503886,51.666666666666664
COLMAP,synthetic,70,4.485533333333334,0.17306666666666667,22.072022755940754,0.10791196674108505,0.8250077168146769,62.0
COLMAP,synthetic,80,4.2502,0.22230566666666665,19.070860226949055,0.2323784132798513,0.7521614829699198,71.66666666666667
COLMAP,synthetic,87,3.625666666666667,0.141623,22.552310307820637,0.10275749117136002,0.833419660727183,82.0
VGGT,synthetic,10,0.6352333333333333,0.028974666666666666,17.3721923828125,0.20769162476062775,0.7066458662350973,10.0
VGGT,synthetic,20,0.4003666666666666,0.017913333333333333,18.673484166463215,0.14645080516735712,0.7374285260836283,20.0
VGGT,synthetic,30,0.31743333333333335,0.019129666666666666,20.231502532958984,0.12212254852056503,0.765416423479716,30.0
VGGT,synthetic,40,0.3071,0.018822333333333333,20.61417516072591,0.11541428913672765,0.7707853118578593,40.0
VGGT,synthetic,50,0.30446666666666666,0.019171333333333332,20.776090621948242,0.11484715590874355,0.7755604386329651,50.0
VGGT,synthetic,60,0.3301,0.019127,20.86921755472819,0.1162007600069046,0.779575248559316,60.0
VGGT,synthetic,70,0.33923333333333333,0.019736,20.53367042541504,0.11783972382545471,0.7766845424969991,70.0
VGGT,synthetic,80,0.32593333333333335,0.018297333333333336,20.571102778116863,0.12147849549849828,0.7745673060417175,80.0
VGGT,synthetic,87,0.31916666666666665,0.018888333333333333,20.370315551757812,0.12572584797938666,0.7701835831006368,87.0
