method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss,error_opa,depth_lambda,depth_conf,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,rre,rte,plot_series,depth_lambda_jitter
colmap,50,42,,3105,,farthestpose,50,GT Eval,,,,Pose Opt,,Depth Loss,,0.0,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,15.9945068359375,0.6147637963294983,0.27142226696014404,1000000,0.006090999115258455,0.365200012922287,-0.01813003341434364,3105,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_default_farthestpose_i50_gteval_poseopt_depth_dl1_steps15000/stats/val_step14999.json,0.383,0.024467,colmap | Depth Loss | No Depth Confidence | ,0.0
colmap,50,42,,3105,,farthestpose,50,GT Eval,,,,Pose Opt,,Depth Loss,,0.01,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,16.171039581298828,0.592737078666687,0.2749089300632477,1000000,0.00548699963837862,0.4151000678539276,0.0007748150686075113,3105,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_default_farthestpose_i50_gteval_poseopt_depth_dl0.01_steps15000/stats/val_step14999.json,0.383,0.024467,colmap | Depth Loss | No Depth Confidence | ,0.01
colmap,50,42,,3105,,farthestpose,50,GT Eval,,,,Pose Opt,,Depth Loss,,0.1,No Depth Confidence,colmap,,,15000,15000,default,MCMC,gsplat,16.390703201293945,0.5983882546424866,0.2827977240085602,1000000,0.005627000238746405,0.36469995975494385,0.005967609443937261,3105,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_default_farthestpose_i50_gteval_poseopt_depth_dl0.1_steps15000/stats/val_step14999.json,0.383,0.024467,colmap | Depth Loss | No Depth Confidence | ,0.1
vggt,50,42,0.0,55000,random,farthestpose,50,GT Eval,,,,Pose Opt,,Depth Loss,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,17.412763595581055,0.4530046880245209,0.2681436240673065,1000000,0.016293000429868698,0.7177000641822815,0.10606794705090394,55000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_c0.0_p55000_random_farthestpose_i50_gteval_poseopt_depth_dl10_conf_steps15000/stats/val_step14999.json,0.9199,0.086453,vggt | Depth Loss | Depth Confidence | random,0.0
vggt,50,42,0.0,55000,random,farthestpose,50,GT Eval,,,,Pose Opt,,Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,17.461807250976562,0.3950420320034027,0.2602132260799408,1000000,0.016620999202132225,0.7178999185562134,0.13811792054681366,55000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_c0.0_p55000_random_farthestpose_i50_gteval_poseopt_depth_dl1_steps15000/stats/val_step14999.json,0.9199,0.086453,vggt | Depth Loss | No Depth Confidence | random,0.0
vggt,50,42,0.0,55000,random,farthestpose,50,GT Eval,,,,Pose Opt,,Depth Loss,,0.01,Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,16.967819213867188,0.39433470368385315,0.23947596549987793,1000000,0.018154000863432884,0.8246999979019165,0.11727956338235512,55000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_c0.0_p55000_random_farthestpose_i50_gteval_poseopt_depth_dl0.01_conf_steps15000/stats/val_step14999.json,0.9199,0.086453,vggt | Depth Loss | Depth Confidence | random,0.01
vggt,50,42,0.0,55000,random,farthestpose,50,GT Eval,,,,Pose Opt,,Depth Loss,,0.01,No Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,16.986791610717773,0.39437055587768555,0.23911918699741364,1000000,0.0182810015976429,0.8255999684333801,0.11740013068182431,55000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_c0.0_p55000_random_farthestpose_i50_gteval_poseopt_depth_dl0.01_steps15000/stats/val_step14999.json,0.9199,0.086453,vggt | Depth Loss | No Depth Confidence | random,0.01
vggt,50,42,0.0,55000,random,farthestpose,50,GT Eval,,,,Pose Opt,,Depth Loss,,0.1,Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,17.137596130371094,0.39271825551986694,0.24721236526966095,1000000,0.01734899915754795,0.7702999711036682,0.12594559825496912,55000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_c0.0_p55000_random_farthestpose_i50_gteval_poseopt_depth_dl0.1_conf_steps15000/stats/val_step14999.json,0.9199,0.086453,vggt | Depth Loss | Depth Confidence | random,0.1
vggt,50,42,0.0,55000,random,farthestpose,50,GT Eval,,,,Pose Opt,,Depth Loss,,0.1,No Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,17.12447166442871,0.3961661756038666,0.24732644855976105,1000000,0.017517000436782837,0.774600088596344,0.12364092223283299,55000,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_c0.0_p55000_random_farthestpose_i50_gteval_poseopt_depth_dl0.1_steps15000/stats/val_step14999.json,0.9199,0.086453,vggt | Depth Loss | No Depth Confidence | random,0.1
vggt,50,42,0.0,55000,voxels,farthestpose,50,GT Eval,,,,Pose Opt,,Depth Loss,,0.0,Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,16.91995620727539,0.5840547680854797,0.2672439515590668,1000000,0.017385000362992287,0.796000063419342,0.015520648881938343,55619,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_c0.0_p55000_voxels_farthestpose_i50_gteval_poseopt_depth_dl10_conf_steps15000/stats/val_step14999.json,0.9199,0.086453,vggt | Depth Loss | Depth Confidence | voxels,0.0
vggt,50,42,0.0,55000,voxels,farthestpose,50,GT Eval,,,,Pose Opt,,Depth Loss,,0.0,No Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,16.84579849243164,0.5744115114212036,0.264405220746994,1000000,0.01756500080227852,0.7991000413894653,0.018439908938566025,55619,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_c0.0_p55000_voxels_farthestpose_i50_gteval_poseopt_depth_dl10_steps15000/stats/val_step14999.json,0.9199,0.086453,vggt | Depth Loss | No Depth Confidence | voxels,0.0
vggt,50,42,0.0,55000,voxels,farthestpose,50,GT Eval,,,,Pose Opt,,Depth Loss,,0.01,Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,17.15884017944336,0.4398244321346283,0.2512294054031372,1000000,0.017636997625231743,0.8269999623298645,0.0996102660487735,55619,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_c0.0_p55000_voxels_farthestpose_i50_gteval_poseopt_depth_dl0.01_conf_steps15000/stats/val_step14999.json,0.9199,0.086453,vggt | Depth Loss | Depth Confidence | voxels,0.01
vggt,50,42,0.0,55000,voxels,farthestpose,50,GT Eval,,,,Pose Opt,,Depth Loss,,0.01,No Depth Confidence,vggt,,,15000,15000,,MCMC,gsplat,17.172218322753906,0.43751609325408936,0.2507114112377167,1000000,0.017610998824238777,0.830299973487854,0.10097998942238236,55619,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n50_s42_c0.0_p55000_voxels_farthestpose_i50_gteval_poseopt_depth_dl0.01_steps15000/stats/val_step14999.json,0.9199,0.086453,vggt | Depth Loss | No Depth Confidence | voxels,0.01
