method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,run_mvs,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,depth_conf_shifted,loss_multiplier,pose_loss_multiplier,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,series_label_override,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,alignment_scale,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,inference_time,peak_memory_mb,peak_memory_reserved_mb,processing_time,sfm_file_path,input_folder,output_folder,initial_points,failed_sfm_file_path,gsplat_cfg_file_path,plot_series,num_images_jitter
colmap,10,42,,,,,,,0,10,minfarthestpose,10,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat_cfg,,outdoor,,,,,,,,,,,,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n10_s42_default_minfarthestpose_sharedcam_i10_gteval_steps15000/stats/config.json,,bicycle_4_n10_s42_default_minfarthestpose_sharedcam_i10_gteval_steps15000,,,,,,,,,,,,,bicycle_4_n10_s42_default_minfarthestpose_sharedcam_i10_gteval_steps15000,,,,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n10_s42_default_minfarthestpose_sharedcam_i10_gteval_steps15000/stats/config.json,colmap,10.0
colmap,10,42,,,,,,,0,10,minfarthestpose,10,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,garden,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat_cfg,,outdoor,,,,,,,,,,,,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n10_s42_default_minfarthestpose_sharedcam_i10_gteval_steps15000/stats/config.json,,garden_2_n10_s42_default_minfarthestpose_sharedcam_i10_gteval_steps15000,,,,,,,,,,,,,garden_2_n10_s42_default_minfarthestpose_sharedcam_i10_gteval_steps15000,,,,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n10_s42_default_minfarthestpose_sharedcam_i10_gteval_steps15000/stats/config.json,colmap,10.0
colmap,10,42,,,,,,,0,10,minfarthestpose,10,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,stump,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat_cfg,,outdoor,,,,,,,,,,,,/home/ojab2/work/git/gsplat/results/colmap_outputs/stump_2_n10_s42_default_minfarthestpose_sharedcam_i10_gteval_steps15000/stats/config.json,,stump_2_n10_s42_default_minfarthestpose_sharedcam_i10_gteval_steps15000,,,,,,,,,,,,,stump_2_n10_s42_default_minfarthestpose_sharedcam_i10_gteval_steps15000,,,,/home/ojab2/work/git/gsplat/results/colmap_outputs/stump_2_n10_s42_default_minfarthestpose_sharedcam_i10_gteval_steps15000/stats/config.json,colmap,10.0
colmap,20,42,,102,,,,,0,10,minfarthestpose,20,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,stump,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,11.157958984375,0.794369637966156,0.2800576090812683,104743,0.0016782345483079553,0.3359565734863281,,,-0.213513630175451,0.5731531591508372,102,/home/ojab2/work/git/gsplat/results/colmap_outputs/stump_2_n20_s42_default_minfarthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/stump_2_n20_s42_default_minfarthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,stump_2_n20_s42_default_minfarthestpose_sharedcam_i20_gteval_steps15000,0.336,0.004538,3,0.422682,,,,3.393165349960327,9344,9344,0,/home/ojab2/work/git/vggt/colmap_outputs/stump_2_n20_s42_default_minfarthestpose_sharedcam/eval_results.json,stump_2_n20_s42_default_minfarthestpose_sharedcam,stump_2_n20_s42_default_minfarthestpose_sharedcam_i20_gteval_steps15000_val_step14999.json,102,,,colmap,20.0
colmap,20,42,,2501,,,,,0,10,minfarthestpose,20,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,garden,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,19.223548889160156,0.4315952658653259,0.3711417615413666,1000000,0.001077398774214089,0.0929824560880661,,,0.21304952966616944,0.4121862402830013,2501,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n20_s42_default_minfarthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n20_s42_default_minfarthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,garden_2_n20_s42_default_minfarthestpose_sharedcam_i20_gteval_steps15000,0.093,0.00467,20,1.107978,,,,8.679940223693848,9086,9086,0,/home/ojab2/work/git/vggt/colmap_outputs/garden_2_n20_s42_default_minfarthestpose_sharedcam/eval_results.json,garden_2_n20_s42_default_minfarthestpose_sharedcam,garden_2_n20_s42_default_minfarthestpose_sharedcam_i20_gteval_steps15000_val_step14999.json,2501,,,colmap,20.0
colmap,20,42,,,,,,,0,10,minfarthestpose,20,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat_cfg,,outdoor,,,,,,,,,,,,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s42_default_minfarthestpose_sharedcam_i20_gteval_steps15000/stats/config.json,,bicycle_4_n20_s42_default_minfarthestpose_sharedcam_i20_gteval_steps15000,,,,,,,,,,,,,bicycle_4_n20_s42_default_minfarthestpose_sharedcam_i20_gteval_steps15000,,,,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s42_default_minfarthestpose_sharedcam_i20_gteval_steps15000/stats/config.json,colmap,20.0
colmap,30,42,,245,,,,,0,10,minfarthestpose,30,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,14.077865600585938,0.784950852394104,0.2591404318809509,264668,0.006391197443008423,0.3337806165218353,,,-0.16585948763147731,0.5615953835422857,245,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s42_default_minfarthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s42_default_minfarthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,bicycle_4_n30_s42_default_minfarthestpose_sharedcam_i30_gteval_steps15000,0.3338,0.009274,6,0.52756,,,,7.97350811958313,1434,1434,0,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n30_s42_default_minfarthestpose_sharedcam/eval_results.json,bicycle_4_n30_s42_default_minfarthestpose_sharedcam,bicycle_4_n30_s42_default_minfarthestpose_sharedcam_i30_gteval_steps15000_val_step14999.json,245,,,colmap,30.0
colmap,30,42,,8050,,,,,0,10,minfarthestpose,30,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,garden,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,20.411449432373047,0.3560362756252289,0.4132591187953949,1000000,0.0009017979027703404,0.08188437670469284,,,0.30631907335576336,0.377040834449024,8050,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n30_s42_default_minfarthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n30_s42_default_minfarthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,garden_2_n30_s42_default_minfarthestpose_sharedcam_i30_gteval_steps15000,0.0819,0.003754,30,1.031037,,,,16.621281385421753,9150,9150,0,/home/ojab2/work/git/vggt/colmap_outputs/garden_2_n30_s42_default_minfarthestpose_sharedcam/eval_results.json,garden_2_n30_s42_default_minfarthestpose_sharedcam,garden_2_n30_s42_default_minfarthestpose_sharedcam_i30_gteval_steps15000_val_step14999.json,8050,,,colmap,30.0
colmap,30,42,,,,,,,0,10,minfarthestpose,30,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,stump,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat_cfg,,outdoor,,,,,,,,,,,,/home/ojab2/work/git/gsplat/results/colmap_outputs/stump_2_n30_s42_default_minfarthestpose_sharedcam_i30_gteval_steps15000/stats/config.json,,stump_2_n30_s42_default_minfarthestpose_sharedcam_i30_gteval_steps15000,,,,,,,,,,,,,stump_2_n30_s42_default_minfarthestpose_sharedcam_i30_gteval_steps15000,,,,/home/ojab2/work/git/gsplat/results/colmap_outputs/stump_2_n30_s42_default_minfarthestpose_sharedcam_i30_gteval_steps15000/stats/config.json,colmap,30.0
colmap,40,42,,329,,,,,0,10,minfarthestpose,40,GT Eval,,,,,False,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,15.817615509033203,0.6667900681495667,0.29693716764450073,359081,0.0037136971950531006,0.14308501780033112,,,-0.03859978678011126,0.5104915661390372,329,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s42_default_minfarthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s42_default_minfarthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,bicycle_4_n40_s42_default_minfarthestpose_sharedcam_i40_gteval_steps15000,0.1431,0.006862,9,0.685205,,,,14.81194806098938,1434,1434,0,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n40_s42_default_minfarthestpose_sharedcam/eval_results.json,bicycle_4_n40_s42_default_minfarthestpose_sharedcam,bicycle_4_n40_s42_default_minfarthestpose_sharedcam_i40_gteval_steps15000_val_step14999.json,329,,,colmap,40.0
