choice,num_images,camera_src,pcd_src,eval_rre,eval_rte,num_aligned,psnr,lpips,ssim
COLMAP,25,colmapcams,bothpcd,28.411998748779297,0.04268275573849678,5,11.134050369262695,0.6029424071311951,0.5013598203659058
COLMAP,25,,,26.912057876586914,0.03997660428285599,5,10.815722465515137,0.6160928010940552,0.4708928167819977
COLMAP,50,colmapcams,bothpcd,170.4890899658203,1.0642094612121582,43,11.360930442810059,0.5087998509407043,0.673119068145752
COLMAP,50,,,170.7255859375,1.063043475151062,43,11.360930442810059,0.5087997913360596,0.673119068145752
COLMAP,75,colmapcams,bothpcd,107.84020233154297,0.9772196412086487,75,10.937515258789062,0.4746167063713074,0.6257553100585938
COLMAP,75,,,107.89893341064453,0.9768995642662048,75,10.7064790725708,0.5267980694770813,0.6387555003166199
COLMAP,87,,,12.800947189331055,0.24047112464904785,87,10.687294006347656,0.5188292860984802,0.53187096118927
VGGT,25,colmapcams,vggtpcd,,,5,,,
VGGT,25,vggtcams,bothpcd,1.3222992420196533,0.081528440117836,5,13.712801933288574,0.4415420591831207,0.553872287273407
VGGT,25,vggtcams,colmappcd,,,5,,,
VGGT,25,,,1.753572940826416,0.023860003799200058,25,13.936103820800781,0.3265500068664551,0.6196243166923523
VGGT,50,colmapcams,vggtpcd,,,43,,,
VGGT,50,vggtcams,bothpcd,0.8832523822784424,0.00930965505540371,43,15.383821487426758,0.23101705312728882,0.6753930449485779
VGGT,50,vggtcams,colmappcd,,,43,,,
VGGT,50,,,0.7713083028793335,0.009889080189168453,50,15.3817777633667,0.2240402102470398,0.6776379346847534
VGGT,75,colmapcams,vggtpcd,,,75,,,
VGGT,75,vggtcams,bothpcd,0.24254028499126434,0.003628396661952138,75,18.940214157104492,0.09623061865568161,0.751122772693634
VGGT,75,vggtcams,colmappcd,0.38260161876678467,0.006534643471240997,75,11.361199378967285,0.5088154673576355,0.6731201410293579
VGGT,75,,,0.2865562438964844,0.00539745669811964,75,19.875732421875,0.0806247815489769,0.7686150074005127
VGGT,87,colmapcams,bothpcd,,,87,,,
VGGT,87,colmapcams,vggtpcd,,,87,,,
VGGT,87,vggtcams,bothpcd,,,87,,,
VGGT,87,vggtcams,colmappcd,,,87,,,
VGGT,87,,,0.2550726532936096,0.006083907559514046,87,20.653635025024414,0.07170300930738449,0.7774046659469604
