method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,depth_conf_shifted,loss_multiplier,pose_loss_multiplier,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,alignment_scale,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series
colmap,87,42,,3866,,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,drums,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,synthetic,22.8007869720459,0.08921363204717636,0.906125545501709,1000000,0.0019269566982984543,0.09517744928598404,0.015581444837152958,0.016012171283364296,0.8034973809032024,0.13361671317880486,3866,/home/ojab2/work/git/gsplat/results/colmap_outputs/drums_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/drums_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_steps15000/stats/val_step14999.json,drums_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_steps15000,0.1528,0.009899,79,0.837402,,,,/home/ojab2/work/git/vggt/colmap_outputs/drums_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,drums_1_n87_s42_default_mpinhole_farthestpose_sharedcam,drums_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_steps15000_val_step14999.json,3866,colmap |  | 0.0 | 
colmap,87,42,,5146,,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,ship,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,synthetic,22.677448272705078,0.14222858846187592,0.7592695951461792,1000000,0.0022772701922804117,0.12901882827281952,0.03049098327755928,0.028810393065214157,0.6826073764554086,0.21275657137381176,5146,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_steps15000/stats/val_step14999.json,ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_steps15000,0.2458,0.011214,80,0.865091,,,,/home/ojab2/work/git/vggt/colmap_outputs/ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam,ship_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_steps15000_val_step14999.json,5146,colmap |  | 0.0 | 
colmap,87,42,,10313,,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,lego,pinhole,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,synthetic,23.415613174438477,0.06068120896816254,0.8655398488044739,1000000,0.11611875891685486,10.428851127624512,0.020421398803591728,0.021033968776464462,0.8087613326028387,0.14397459069395593,10313,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_steps15000,10.4784,0.403756,87,0.885202,,,,/home/ojab2/work/git/vggt/colmap_outputs/lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam/eval_results.json,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam,lego_1_n87_s42_default_mpinhole_farthestpose_sharedcam_i87_gteval_poseopt_steps15000_val_step14999.json,10313,colmap |  | 0.0 | 
colmap,100,42,,17352,,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,outdoor,22.163246154785156,0.3494715690612793,0.5586552619934082,1000000,0.002470657927915454,0.1106053814291954,,,0.42783902572919363,0.3399620648095866,17352,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.0986,0.006893,100,1.077433,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n100_s42_default_farthestpose_sharedcam,bicycle_4_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000_val_step14999.json,17352,colmap |  | 0.0 | 
colmap,100,42,,19683,,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,stump,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,outdoor,24.832897186279297,0.3404231071472168,0.6964612603187561,1000000,0.001068504061549902,0.03414143621921539,,,0.563450781225461,0.2982176433162218,19683,/home/ojab2/work/git/gsplat/results/colmap_outputs/stump_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/stump_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,stump_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.0219,0.002013,100,0.977613,,,,/home/ojab2/work/git/vggt/colmap_outputs/stump_2_n100_s42_default_farthestpose_sharedcam/eval_results.json,stump_2_n100_s42_default_farthestpose_sharedcam,stump_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000_val_step14999.json,19683,colmap |  | 0.0 | 
colmap,100,42,,60980,,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,counter,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,indoor,25.227703094482422,0.18847616016864777,0.8500107526779175,1000000,0.0002561314613558352,0.025510873645544052,,,0.7543514382343466,0.19292045401160557,60980,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/counter_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,counter_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.029,0.002114,100,1.074256,,,,/home/ojab2/work/git/vggt/colmap_outputs/counter_2_n100_s42_default_farthestpose_sharedcam/eval_results.json,counter_2_n100_s42_default_farthestpose_sharedcam,counter_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000_val_step14999.json,60980,colmap |  | 0.0 | 
colmap,100,42,,70656,,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,garden,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,outdoor,22.12991714477539,0.2636813521385193,0.5120896697044373,1000000,0.0005747699178755283,0.04868227615952492,,,0.45294740534665295,0.3227702522973086,70656,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,garden_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.0628,0.002621,100,1.057253,,,,/home/ojab2/work/git/vggt/colmap_outputs/garden_2_n100_s42_default_farthestpose_sharedcam/eval_results.json,garden_2_n100_s42_default_farthestpose_sharedcam,garden_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000_val_step14999.json,70656,colmap |  | 0.0 | 
colmap,100,42,,80892,,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,bonsai,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,indoor,24.653011322021484,0.17453931272029877,0.7761514782905579,1000000,0.0010529047576710582,0.09680686891078949,,,0.7091194321343928,0.2170303140499316,80892,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.1581,0.013152,100,1.113392,,,,/home/ojab2/work/git/vggt/colmap_outputs/bonsai_2_n100_s42_default_farthestpose_sharedcam/eval_results.json,bonsai_2_n100_s42_default_farthestpose_sharedcam,bonsai_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000_val_step14999.json,80892,colmap |  | 0.0 | 
colmap,100,42,,92853,,,,,0,10,farthestpose,100,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,kitchen,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,indoor,21.59664535522461,0.14201965928077698,0.49743717908859253,1000000,0.0009081275202333927,0.09359873086214066,,,0.5096031042799847,0.28595332267000567,92853,/home/ojab2/work/git/gsplat/results/colmap_outputs/kitchen_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/kitchen_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,kitchen_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.1073,0.004456,100,1.070086,,,,/home/ojab2/work/git/vggt/colmap_outputs/kitchen_2_n100_s42_default_farthestpose_sharedcam/eval_results.json,kitchen_2_n100_s42_default_farthestpose_sharedcam,kitchen_2_n100_s42_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000_val_step14999.json,92853,colmap |  | 0.0 | 
combined,87,42,0.0,87000,confidence,,,,0,10,farthestpose,87,GT Eval,,,,Pose Opt,,,,,0.0,,False,1.0,1.0,colmap,lego,,,15000,15000,default,MCMC,COLMAP Cams,Both Pcds,Global Alignment,,Shared Cam,,,,,,gsplat,synthetic,25.149423599243164,0.05014980956912041,0.9035831093788147,1000000,0.11250514537096024,10.389172554016113,0.017813609912991524,0.01874624565243721,0.869617317692462,0.12123860980323475,97069,/home/ojab2/work/git/gsplat/results/combined_outputs/lego_1_n87_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p87000_confidence_farthestpose_sharedcam_i87_gteval_poseopt_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/combined_outputs/lego_1_n87_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p87000_confidence_farthestpose_sharedcam_i87_gteval_poseopt_steps15000/stats/val_step14999.json,lego_1_n87_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p87000_confidence_farthestpose_sharedcam_i87_gteval_poseopt_steps15000,10.4269,0.396164,87,0.88238,0.0454,0.0128,0.1163,/home/ojab2/work/git/vggt/combined_outputs/lego_1_n87_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p87000_confidence_farthestpose_sharedcam/eval_results.json,lego_1_n87_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p87000_confidence_farthestpose_sharedcam,lego_1_n87_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p87000_confidence_farthestpose_sharedcam_i87_gteval_poseopt_steps15000_val_step14999.json,97069,combined |  | 0.0 | 
