method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,max_ba_iterations,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,quality,real_num_points,file_path,folder,rre,rte,num_aligned,plot_series,num_images_jitter
combined,25,42,0.0,25000,random,farthestpose,25,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,,,gsplat,12.86971664428711,0.67584228515625,0.1513012796640396,1000000,0.010588998906314373,1.0277999639511108,-0.18394548072684805,7702,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n25_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p25000_random_farthestpose_sharedcam_i25_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n25_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p25000_random_farthestpose_sharedcam_i25_gteval_poseopt_steps15000,0.8791,0.011883,7,combined | default | bothpcd,25.0
combined,50,42,0.0,50000,random,farthestpose,50,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,,,gsplat,16.3035888671875,0.4510050117969513,0.2585064768791199,1000000,0.002707999898120761,0.2038000226020813,0.08112628375500193,31929,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n50_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p50000_random_farthestpose_sharedcam_i50_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p50000_random_farthestpose_sharedcam_i50_gteval_poseopt_steps15000,0.1891,0.008857,29,combined | default | bothpcd,50.0
combined,75,42,0.0,75000,random,farthestpose,75,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,,,gsplat,17.70393180847168,0.37410783767700195,0.3406756520271301,1000000,0.0027370003517717123,0.1339000016450882,0.2025781010868799,50125,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n75_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p75000_random_farthestpose_sharedcam_i75_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n75_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p75000_random_farthestpose_sharedcam_i75_gteval_poseopt_steps15000,0.1012,0.00827,44,combined | default | bothpcd,75.0
combined,100,42,0.0,100000,random,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,bothpcd,Global Alignment,,Shared Cam,,,,,gsplat,22.568336486816406,0.23735666275024414,0.5980597138404846,1000000,0.0022889997344464064,0.08879999071359634,0.5275909699272071,116687,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_combined_colmapcams_bothpcd_amglobal_default_c0.0_p100000_random_farthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.1069,0.008457,100,combined | default | bothpcd,100.0
combined,25,42,,663,,farthestpose,25,GT Eval,,,,Pose Opt,,,,0.0,,vggt,,,15000,15000,default,MCMC,vggtcams,colmappcd,Global Alignment,,Shared Cam,,,,,gsplat,11.541252136230469,0.7971864342689514,0.19563838839530945,736987,0.01756799966096878,4.2104997634887695,-0.25752233730809415,663,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n25_s42_combined_vggtcams_colmappcd_amglobal_default_farthestpose_sharedcam_i25_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n25_s42_combined_vggtcams_colmappcd_amglobal_default_farthestpose_sharedcam_i25_gteval_poseopt_steps15000,2.2538,0.026684,7,combined | default | colmappcd,25.0
combined,50,42,,3071,,farthestpose,50,GT Eval,,,,Pose Opt,,,,0.0,,vggt,,,15000,15000,default,MCMC,vggtcams,colmappcd,Global Alignment,,Shared Cam,,,,,gsplat,14.9686279296875,0.6109075546264648,0.24029384553432465,1000000,0.005978000350296497,0.7541999816894531,-0.05295115004428559,3071,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n50_s42_combined_vggtcams_colmappcd_amglobal_default_farthestpose_sharedcam_i50_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_combined_vggtcams_colmappcd_amglobal_default_farthestpose_sharedcam_i50_gteval_poseopt_steps15000,0.689,0.054909,29,combined | default | colmappcd,50.0
combined,75,42,,6068,,farthestpose,75,GT Eval,,,,Pose Opt,,,,0.0,,vggt,,,15000,15000,default,MCMC,vggtcams,colmappcd,Global Alignment,,Shared Cam,,,,,gsplat,16.440038681030273,0.5052512288093567,0.2645450830459595,1000000,0.005344999488443136,0.474700003862381,0.053699161651616326,6068,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n75_s42_combined_vggtcams_colmappcd_amglobal_default_farthestpose_sharedcam_i75_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n75_s42_combined_vggtcams_colmappcd_amglobal_default_farthestpose_sharedcam_i75_gteval_poseopt_steps15000,0.5741,0.045375,44,combined | default | colmappcd,75.0
combined,100,42,,16687,,farthestpose,100,GT Eval,,,,Pose Opt,,,,0.0,,vggt,,,15000,15000,default,MCMC,vggtcams,colmappcd,Global Alignment,,Shared Cam,,,,,gsplat,17.783098220825195,0.41803497076034546,0.2941408157348633,1000000,0.009813000448048115,0.5956999659538269,0.14971527695423448,16687,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n100_s42_combined_vggtcams_colmappcd_amglobal_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n100_s42_combined_vggtcams_colmappcd_amglobal_default_farthestpose_sharedcam_i100_gteval_poseopt_steps15000,0.857,0.067143,100,combined | default | colmappcd,100.0
combined,25,42,0.0,25000,random,farthestpose,25,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,vggtpcd,Global Alignment,,Shared Cam,,,,,gsplat,12.69320297241211,0.6699073910713196,0.15186896920204163,1000000,0.011699000373482704,0.7257999181747437,-0.1832187553750298,7039,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n25_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p25000_random_farthestpose_sharedcam_i25_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n25_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p25000_random_farthestpose_sharedcam_i25_gteval_poseopt_steps15000,0.8791,0.011883,7,combined | default | vggtpcd,25.0
combined,50,42,0.0,50000,random,farthestpose,50,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,vggtpcd,Global Alignment,,Shared Cam,,,,,gsplat,15.947772979736328,0.461790531873703,0.2390986531972885,1000000,0.0034829997457563877,0.24700000882148743,0.05652976771931595,28858,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n50_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p50000_random_farthestpose_sharedcam_i50_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p50000_random_farthestpose_sharedcam_i50_gteval_poseopt_steps15000,0.1891,0.008857,29,combined | default | vggtpcd,50.0
combined,75,42,0.0,75000,random,farthestpose,75,GT Eval,,,,Pose Opt,,,,0.0,,colmap,,,15000,15000,default,MCMC,colmapcams,vggtpcd,Global Alignment,,Shared Cam,,,,,gsplat,17.235118865966797,0.38518789410591125,0.2933329939842224,1000000,0.002985000377520919,0.15780000388622284,0.15937107398650954,44057,/home/ojab2/work/git/gsplat/results/combined_outputs/bicycle_4_n75_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p75000_random_farthestpose_sharedcam_i75_gteval_poseopt_steps15000/stats/val_step14999.json,bicycle_4_n75_s42_combined_colmapcams_vggtpcd_amglobal_default_c0.0_p75000_random_farthestpose_sharedcam_i75_gteval_poseopt_steps15000,0.1012,0.00827,44,combined | default | vggtpcd,75.0
