choice,dataset,depth_loss_mode,rre,rte,psnr,lpips,ssim,quality
COLMAP,bicycle,,0.0986,0.006893,22.163246154785156,0.3494715690612793,0.5586552619934082,0.42783902572919363
COLMAP,bicycle,points,0.0986,0.006893,21.65953826904297,0.39189550280570984,0.5051455497741699,0.36103125912868955
VGGT,bicycle,,0.7161,0.065623,17.384122848510742,0.337806761264801,0.26788055896759033,0.17649355493945842
VGGT,bicycle,closer,0.7161,0.065623,17.499969482421875,0.3285771608352661,0.26620882749557495,0.18335852644674344
VGGT,bicycle,full,0.7161,0.065623,18.11033821105957,0.35131216049194336,0.2933022975921631,0.1964718352051971
VGGT,bicycle,points,0.7161,0.065623,17.405841827392578,0.38280487060546875,0.26891157031059265,0.149722078157912
COLMAP,garden,,0.0628,0.002621,22.12991714477539,0.2636813521385193,0.5120896697044373,0.45294740534665295
COLMAP,garden,points,0.0628,0.002621,21.95889663696289,0.271636962890625,0.4986693263053894,0.4370213340365166
VGGT,garden,,0.3733,0.026869,19.350812911987305,0.33780568838119507,0.3663502633571625,0.2704990260240085
VGGT,garden,closer,0.3733,0.026869,19.498172760009766,0.332120805978775,0.36031967401504517,0.2732104383326723
VGGT,garden,full,0.3733,0.026869,19.401695251464844,0.3461934030056,0.37129878997802734,0.2691575651667659
VGGT,garden,points,0.3733,0.026869,19.361860275268555,0.36057040095329285,0.37420040369033813,0.2612420404553801
COLMAP,stump,,0.0219,0.002013,24.832897186279297,0.3404231071472168,0.6964612603187561,0.563450781225461
COLMAP,stump,points,0.0219,0.002013,24.92993927001953,0.363292932510376,0.7087851762771606,0.5583376490969096
VGGT,stump,,0.8558,0.162829,18.294498443603516,0.4924980700016022,0.39796870946884155,0.17393884188637787
VGGT,stump,closer,0.8558,0.162829,18.34939193725586,0.4938613772392273,0.3984053134918213,0.17436916437762529
VGGT,stump,full,0.8558,0.162829,18.40581512451172,0.5147808194160461,0.40761035680770874,0.16788386857068097
VGGT,stump,points,0.8558,0.162829,18.38129425048828,0.5212017297744751,0.40700381994247437,0.16311155347718756
