choice,num_points,sampling_mode,psnr,lpips,ssim,quality
COLMAP,80962,,21.817991256713867,0.21005652844905853,0.6816845536231995,0.5794510377197004
VGGT,1000,confidence,17.837099075317383,0.5466758012771606,0.6081426739692688,0.2549341903869946
VGGT,1000,random,17.824953079223633,0.5435119867324829,0.6080573201179504,0.2566123219416311
VGGT,1000,voxels,17.852130889892578,0.5483142733573914,0.6085590720176697,0.2544446624355552
VGGT,5000,confidence,17.67875099182129,0.4794710576534271,0.5920450091362,0.2840723890310143
VGGT,5000,random,17.691858291625977,0.4800214171409607,0.5927031636238098,0.2843602743917196
VGGT,5000,voxels,17.742000579833984,0.4857986271381378,0.5943694710731506,0.28269710507464146
VGGT,10000,confidence,17.699512481689453,0.4592738449573517,0.5875024795532227,0.2942678262615762
VGGT,10000,random,17.656131744384766,0.4642288088798523,0.5872781872749329,0.29027469449418175
VGGT,10000,voxels,17.677885055541992,0.47266295552253723,0.5898643732070923,0.2869836596640153
VGGT,20000,confidence,17.657516479492188,0.443106472492218,0.5822509527206421,0.3003989137404146
VGGT,20000,random,17.62466049194336,0.4479405879974365,0.5818598866462708,0.2965777539990023
VGGT,20000,voxels,17.632732391357422,0.4605438709259033,0.58454430103302,0.29051726231565717
VGGT,30000,confidence,17.603994369506836,0.43690934777259827,0.5785318613052368,0.30105824192442465
VGGT,30000,random,17.607580184936523,0.4403267502784729,0.5797180533409119,0.29970881774721403
VGGT,30000,voxels,17.57781982421875,0.4511888921260834,0.5806558132171631,0.2930010717127368
VGGT,50000,confidence,17.58403205871582,0.42983943223953247,0.5756976008415222,0.303395252633668
VGGT,50000,random,17.598051071166992,0.43159765005111694,0.5764177441596985,0.30299068078195374
VGGT,50000,voxels,17.576961517333984,0.446553111076355,0.5784289240837097,0.29454449603432103
VGGT,75000,confidence,17.55544090270996,0.42685994505882263,0.5726767182350159,0.30293837838392895
VGGT,75000,random,17.59596824645996,0.4276907742023468,0.573704719543457,0.30377719760948063
VGGT,75000,voxels,17.565404891967773,0.4419548511505127,0.5769923329353333,0.2963288047237781
VGGT,100000,confidence,17.5551700592041,0.42476481199264526,0.5716073513031006,0.30360129400071106
VGGT,100000,random,17.560556411743164,0.4248484671115875,0.5706954002380371,0.3031160975912316
VGGT,100000,voxels,17.540729522705078,0.4390751123428345,0.5749732255935669,0.29646870546173626
VGGT,250000,confidence,17.524078369140625,0.4227761924266815,0.5668544769287109,0.301473606205978
VGGT,250000,random,17.50954246520996,0.42256295680999756,0.5650534629821777,0.3002828251935972
VGGT,250000,voxels,17.506763458251953,0.431453138589859,0.5694643259048462,0.29732304757256417
VGGT,500000,confidence,17.52431297302246,0.42255714535713196,0.5650497078895569,0.30055774447203765
VGGT,500000,random,17.489686965942383,0.42175957560539246,0.5609315037727356,0.2980005426248844
VGGT,500000,voxels,17.454833984375,0.4291716516017914,0.5646929740905762,0.2949794517313218
VGGT,1000000,confidence,17.51707649230957,0.42489251494407654,0.5647897720336914,0.29883014013273057
VGGT,1000000,random,17.4783935546875,0.4220559298992157,0.5577579140663147,0.2957525702170384
VGGT,1000000,voxels,17.441808700561523,0.426496684551239,0.5618674159049988,0.294737083792609
VGGT,,ba,,,,
