method,num_images,seed,conf_thres_value,num_points,sampling_mode,near_filtering_strength,near_filtering_quorum,reconstruct_pose_opt,optimisation_iterations,optimisation_neighbourhood,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,pose_opt_module,eval_opt,depth_loss_mode,error_opa,depth_lambda,depth_conf_mode,depth_conf_shifted,loss_multiplier,pose_loss_multiplier,choice,dataset,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,camera_src,pcd_src,align_mode,align_glue,shared_camera,keep_backup_cams,random_init,use_ba,feature_extractor,max_ba_iterations,source,series_label_override,dataset_collection,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,depth_l1,depth_abs_rel,quality,avge,real_num_points,file_path,gsplat_file_path,folder,rre,rte,num_aligned,alignment_scale,pred_depth_l1,pred_depth_absrel,pred_depth_rmse,sfm_file_path,input_folder,output_folder,initial_points,plot_series,num_images_jitter
colmap,10,42,,168,,,,,0,10,farthestpose,10,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,colmap,garden,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,12.088115692138672,0.8129224181175232,0.3121573328971863,179055,0.002008326118811965,0.1553097516298294,,,-0.18896907107097283,0.5680378954004044,168,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n10_s42_default_farthestpose_sharedcam_i10_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n10_s42_default_farthestpose_sharedcam_i10_gteval_steps15000/stats/val_step14999.json,garden_2_n10_s42_default_farthestpose_sharedcam_i10_gteval_steps15000,0.1553,0.00235,3,0.322542,,,,/home/ojab2/work/git/vggt/colmap_outputs/garden_2_n10_s42_default_farthestpose_sharedcam/eval_results.json,garden_2_n10_s42_default_farthestpose_sharedcam,garden_2_n10_s42_default_farthestpose_sharedcam_i10_gteval_steps15000_val_step14999.json,168,colmap | ,10.0
colmap,20,42,,44,,,,,0,10,farthestpose,20,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,9.327774047851562,0.9867873787879944,0.011039652861654758,38969,,,,,-0.523502769271823,0.6993310048837558,44,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,bicycle_4_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000,19.4863,0.240427,2,0.128276,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n20_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n20_s42_default_farthestpose_sharedcam,bicycle_4_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000_val_step14999.json,44,colmap | ,20.0
colmap,20,42,,316,,,,,0,10,farthestpose,20,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,colmap,stump,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,13.261056900024414,0.9025721549987793,0.21870732307434082,345885,0.01551740150898695,0.8679588437080383,,,-0.27723640989684056,0.6112248634181593,316,/home/ojab2/work/git/gsplat/results/colmap_outputs/stump_2_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/stump_2_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,stump_2_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000,0.868,0.030879,6,0.574264,,,,/home/ojab2/work/git/vggt/colmap_outputs/stump_2_n20_s42_default_farthestpose_sharedcam/eval_results.json,stump_2_n20_s42_default_farthestpose_sharedcam,stump_2_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000_val_step14999.json,316,colmap | ,20.0
colmap,20,42,,4260,,,,,0,10,farthestpose,20,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,colmap,garden,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,20.02493667602539,0.41124892234802246,0.42755913734436035,1000000,0.001076416694559157,0.0712534636259079,,,0.27344213297337666,0.3925966285050745,4260,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000/stats/val_step14999.json,garden_2_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000,0.0713,0.004651,20,1.139238,,,,/home/ojab2/work/git/vggt/colmap_outputs/garden_2_n20_s42_default_farthestpose_sharedcam/eval_results.json,garden_2_n20_s42_default_farthestpose_sharedcam,garden_2_n20_s42_default_farthestpose_sharedcam_i20_gteval_steps15000_val_step14999.json,4260,colmap | ,20.0
colmap,30,42,,726,,,,,0,10,farthestpose,30,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,12.060203552246094,0.7754727005958557,0.1813303530216217,808627,0.0060735344886779785,0.6528089046478271,,,-0.24287585874437267,0.5808344878486963,726,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s42_default_farthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s42_default_farthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,bicycle_4_n30_s42_default_farthestpose_sharedcam_i30_gteval_steps15000,0.5111,0.00955,8,0.516151,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n30_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n30_s42_default_farthestpose_sharedcam,bicycle_4_n30_s42_default_farthestpose_sharedcam_i30_gteval_steps15000_val_step14999.json,726,colmap | ,30.0
colmap,30,42,,12379,,,,,0,10,farthestpose,30,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,colmap,garden,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,21.341663360595703,0.35292357206344604,0.4843105971813202,1000000,0.0008103552390821278,0.060017529875040054,,,0.3670172513189681,0.35946035728597875,12379,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n30_s42_default_farthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n30_s42_default_farthestpose_sharedcam_i30_gteval_steps15000/stats/val_step14999.json,garden_2_n30_s42_default_farthestpose_sharedcam_i30_gteval_steps15000,0.06,0.003487,30,1.094624,,,,/home/ojab2/work/git/vggt/colmap_outputs/garden_2_n30_s42_default_farthestpose_sharedcam/eval_results.json,garden_2_n30_s42_default_farthestpose_sharedcam,garden_2_n30_s42_default_farthestpose_sharedcam_i30_gteval_steps15000_val_step14999.json,12379,colmap | ,30.0
colmap,40,42,,870,,,,,0,10,farthestpose,40,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,colmap,stump,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,14.14830493927002,0.6600099802017212,0.3183920383453369,968555,0.0019096970790997148,0.16990302503108978,,,-0.052780997993265924,0.5080265638123294,870,/home/ojab2/work/git/gsplat/results/colmap_outputs/stump_2_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/stump_2_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,stump_2_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000,0.1699,0.003551,11,0.462953,,,,/home/ojab2/work/git/vggt/colmap_outputs/stump_2_n40_s42_default_farthestpose_sharedcam/eval_results.json,stump_2_n40_s42_default_farthestpose_sharedcam,stump_2_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000_val_step14999.json,870,colmap | ,40.0
colmap,40,42,,1993,,,,,0,10,farthestpose,40,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,14.498021125793457,0.6936643719673157,0.2647492289543152,1000000,0.0052596041932702065,0.3217424154281616,,,-0.09844915219295165,0.5288765106283476,1993,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,bicycle_4_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000,0.2627,0.018073,18,0.79389,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n40_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n40_s42_default_farthestpose_sharedcam,bicycle_4_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000_val_step14999.json,1993,colmap | ,40.0
colmap,40,42,,22609,,,,,0,10,farthestpose,40,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,colmap,garden,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,21.740819931030273,0.324906587600708,0.5058983564376831,1000000,0.0007421387708745897,0.05533242225646973,,,0.4043278951316472,0.3448426030070187,22609,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/garden_2_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000/stats/val_step14999.json,garden_2_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000,0.0553,0.003176,40,1.088567,,,,/home/ojab2/work/git/vggt/colmap_outputs/garden_2_n40_s42_default_farthestpose_sharedcam/eval_results.json,garden_2_n40_s42_default_farthestpose_sharedcam,garden_2_n40_s42_default_farthestpose_sharedcam_i40_gteval_steps15000_val_step14999.json,22609,colmap | ,40.0
colmap,50,42,,2881,,,,,0,10,farthestpose,50,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,colmap,stump,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,18.548948287963867,0.570600152015686,0.4627021849155426,1000000,0.003057029563933611,0.10427723824977875,,,0.16829554789867243,0.4391910768511882,2881,/home/ojab2/work/git/gsplat/results/colmap_outputs/stump_2_n50_s42_default_farthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/stump_2_n50_s42_default_farthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,stump_2_n50_s42_default_farthestpose_sharedcam_i50_gteval_steps15000,0.1043,0.011327,31,0.96739,,,,/home/ojab2/work/git/vggt/colmap_outputs/stump_2_n50_s42_default_farthestpose_sharedcam/eval_results.json,stump_2_n50_s42_default_farthestpose_sharedcam,stump_2_n50_s42_default_farthestpose_sharedcam_i50_gteval_steps15000_val_step14999.json,2881,colmap | ,50.0
colmap,50,42,,3073,,,,,0,10,farthestpose,50,GT Eval,,,,,,,,,0.0,,False,1.0,1.0,colmap,bicycle,,,15000,15000,default,MCMC,,,,,Shared Cam,,,,,,gsplat,,outdoor,16.598623275756836,0.5833204984664917,0.29286250472068787,1000000,0.00288584316149354,0.20111431181430817,,,0.025004901926265068,0.48203990960933485,3073,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_default_farthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_default_farthestpose_sharedcam_i50_gteval_steps15000/stats/val_step14999.json,bicycle_4_n50_s42_default_farthestpose_sharedcam_i50_gteval_steps15000,0.2327,0.008995,29,0.943503,,,,/home/ojab2/work/git/vggt/colmap_outputs/bicycle_4_n50_s42_default_farthestpose_sharedcam/eval_results.json,bicycle_4_n50_s42_default_farthestpose_sharedcam,bicycle_4_n50_s42_default_farthestpose_sharedcam_i50_gteval_steps15000_val_step14999.json,3073,colmap | ,50.0
