choice,num_points,sampling_mode,psnr,lpips,ssim,quality,avge
COLMAP,10313,,33.116729736328125,0.033978622406721115,0.9795733690261841,1.0715809865643484,0.059129427789242434
VGGT,8700,confidence,33.124549865722656,0.03365907818078995,0.9797237515449524,1.0720109962909696,0.05884692956384039
VGGT,8700,imagefps,33.112789154052734,0.03449389338493347,0.9796452522277832,1.0712319812734379,0.059217432719647384
VGGT,8700,random,33.12651824951172,0.03340897709131241,0.9797794818878174,1.072234422074966,0.05869821419637003
VGGT,8700,voxels,33.17536544799805,0.033319223672151566,0.980102002620697,1.073383011785593,0.05828694597900642
VGGT,27774,ba,33.29441452026367,0.032145991921424866,0.9806444048881531,1.0766290356734884,0.05724623873297536
VGGT,43500,confidence,33.26671600341797,0.031915366649627686,0.9807918667793274,1.0763446964793113,0.0569933699930241
VGGT,43500,imagefps,33.308807373046875,0.03222883492708206,0.9806724190711975,1.0768608148896592,0.05723976428861236
VGGT,43500,random,33.272743225097656,0.03208961337804794,0.9807319045066833,1.0763136863301836,0.05712328629120739
VGGT,43500,voxels,33.25270080566406,0.03216036409139633,0.9806255102157593,1.0758366382513205,0.05727516583548374
VGGT,87000,confidence,33.306087493896484,0.03175019845366478,0.9808494448661804,1.0772094252271804,0.056867603075875024
VGGT,87000,imagefps,33.29658889770508,0.03176582604646683,0.9804548621177673,1.0767931284902155,0.05734595175668539
VGGT,87000,random,33.3016471862793,0.031935568898916245,0.980751633644104,1.076955571562497,0.0570472028524651
VGGT,87000,voxels,33.301055908203125,0.03182912990450859,0.9807707071304321,1.0770214791370334,0.05698882573214528
VGGT,435000,confidence,33.26036071777344,0.031144749373197556,0.9802544116973877,1.076388394463713,0.057378589813774444
VGGT,435000,imagefps,33.22806930541992,0.031531769782304764,0.9795960187911987,1.0751664787676134,0.05828327375971405
VGGT,435000,random,33.25148010253906,0.03145164996385574,0.9800426959991455,1.0759106834671417,0.057731654144095285
VGGT,435000,voxels,33.24080276489258,0.03137151524424553,0.9801467657089233,1.0758232803479117,0.057582391738386376
VGGT,870000,confidence,33.21535110473633,0.030987007543444633,0.9800258278846741,1.0755185798667444,0.05759798672433371
VGGT,870000,imagefps,33.21091079711914,0.031014584004878998,0.9794365167617798,1.0750747030531917,0.05829724849758836
VGGT,870000,random,33.19268798828125,0.031011605635285378,0.9796987771987915,1.074892450806632,0.057991133955815906
VGGT,870000,voxels,33.287899017333984,0.031024016439914703,0.9803515672683716,1.0770297055995022,0.05722197466350454
