method,num_images,seed,conf_thres_value,num_points,sampling_mode,image_mode,num_cameras,gt_eval,use_gt_extrinsics,use_gt_intrinsics,use_gt_points,pose_opt,eval_opt,depth_loss,error_opa,depth_lambda,depth_conf,choice,camera_type,copy_mode,val_step,num_steps,colmap_mode,splatting_strategy,source,psnr,lpips,ssim,num_GS,eval_rte,eval_rre,real_num_points,file_path,rre,rte,plot_series,num_images_jitter
colmap,20,42,,42,,farthestpose,20,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,9.281769752502441,0.8951457142829895,0.1444433331489563,37114,,,42,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n20_s42_default_farthestpose_i20_gteval_steps15000/stats/val_step14999.json,,,colmap |  | ,20.0
colmap,30,42,,721,,farthestpose,30,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,12.421894073486328,0.7531695365905762,0.19865600764751434,799971,0.01412699930369854,1.9728000164031982,721,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n30_s42_default_farthestpose_i30_gteval_steps15000/stats/val_step14999.json,1.9728,0.022973,colmap |  | ,30.0
colmap,40,42,,2130,,farthestpose,40,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,13.766525268554688,0.6604799032211304,0.20866277813911438,1000000,0.012595999985933304,0.620400071144104,2130,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n40_s42_default_farthestpose_i40_gteval_steps15000/stats/val_step14999.json,0.6204,0.04371,colmap |  | ,40.0
colmap,50,42,,3105,,farthestpose,50,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,15.879034996032715,0.6041828989982605,0.26500794291496277,1000000,0.007553999312222004,0.382999986410141,3105,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n50_s42_default_farthestpose_i50_gteval_steps15000/stats/val_step14999.json,0.383,0.024467,colmap |  | ,50.0
colmap,60,42,,4146,,farthestpose,60,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,16.046512603759766,0.5614190697669983,0.2658894956111908,1000000,0.007407000288367271,0.2329999804496765,4146,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n60_s42_default_farthestpose_i60_gteval_steps15000/stats/val_step14999.json,0.233,0.02279,colmap |  | ,60.0
colmap,70,42,,5500,,farthestpose,70,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,17.885038375854492,0.5156506299972534,0.361318975687027,1000000,0.005857999436557293,0.10190001130104065,5500,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n70_s42_default_farthestpose_i70_gteval_steps15000/stats/val_step14999.json,0.1019,0.017934,colmap |  | ,70.0
colmap,80,42,,7124,,farthestpose,80,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,17.195592880249023,0.4858524203300476,0.3001985251903534,1000000,0.005818000063300133,0.20440000295639038,7124,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n80_s42_default_farthestpose_i80_gteval_steps15000/stats/val_step14999.json,0.2044,0.018299,colmap |  | ,80.0
colmap,90,42,,13386,,farthestpose,90,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,20.26517105102539,0.3983192443847656,0.4295969307422638,1000000,0.004443000070750713,0.132999986410141,13386,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n90_s42_default_farthestpose_i90_gteval_steps15000/stats/val_step14999.json,0.133,0.018113,colmap |  | ,90.0
colmap,100,42,,16627,,farthestpose,100,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,colmap,,,14999,15000,default,MCMC,gsplat,21.084463119506836,0.3635961413383484,0.49296194314956665,1000000,0.004348000045865774,0.10489999502897263,16627,/home/ojab2/work/git/gsplat/results/colmap_outputs/bicycle_4_n100_s42_default_farthestpose_i100_gteval_steps15000/stats/val_step14999.json,0.1049,0.017545,colmap |  | ,100.0
vggt,10,42,0.0,100000,voxels,farthestpose,10,GT Eval,,,,,,No Depth Loss,,0.0,No Depth Confidence,vggt,,,14999,15000,,MCMC,gsplat,13.906999588012695,0.565511167049408,0.153211310505867,1000000,0.030797002837061882,1.569100022315979,94919,/home/ojab2/work/git/gsplat/results/vggt_outputs/bicycle_4_n10_s42_c0.0_p100000_voxels_farthestpose_i10_gteval_steps15000/stats/val_step14999.json,1.569,0.141985,vggt | voxels | ,10.0
