choice,depth_lambda,depth_conf_mode,depth_loss_mode,rre,psnr,lpips,ssim,pred_depth_absrel,depth_abs_rel
COLMAP,0.0,,,0.1581,24.653011322021484,0.17453931272029877,0.7761514782905579,,
COLMAP,0.01,,points,0.1581,25.025754928588867,0.17221306264400482,0.7876349091529846,,
COLMAP,0.1,,points,0.1581,26.851804733276367,0.16934701800346375,0.8498984575271606,,
COLMAP,1.0,,points,0.1581,24.154159545898438,0.18641792237758636,0.7751926779747009,,
COLMAP,10.0,,points,0.1581,22.470006942749023,0.21691569685935974,0.7076914310455322,,
VGGT,0.0,,,0.7215,17.447128295898438,0.39701172709465027,0.5599995255470276,,
VGGT,0.01,,points,0.7215,17.387712478637695,0.40141981840133667,0.5588186979293823,,
VGGT,0.01,sigmoid,points,0.7215,17.33499526977539,0.40268415212631226,0.5579697489738464,,
VGGT,0.01,standard,points,0.7215,17.36945343017578,0.40221458673477173,0.5583745837211609,,
VGGT,0.1,,points,0.7215,17.447893142700195,0.39511212706565857,0.5605227947235107,,
VGGT,0.1,sigmoid,points,0.7215,17.326791763305664,0.40354686975479126,0.5576974153518677,,
VGGT,0.1,standard,points,0.7215,17.355541229248047,0.40390539169311523,0.5575074553489685,,
VGGT,1.0,,points,0.7215,17.418214797973633,0.4035247564315796,0.5565678477287292,,
VGGT,1.0,sigmoid,points,0.7215,17.424034118652344,0.40240177512168884,0.5579726099967957,,
VGGT,1.0,standard,points,0.7215,17.465272903442383,0.40413138270378113,0.5580951571464539,,
VGGT,10.0,,points,0.7215,17.450973510742188,0.42920923233032227,0.5567580461502075,,
VGGT,10.0,sigmoid,points,0.7215,17.499971389770508,0.41507261991500854,0.5592708587646484,,
VGGT,10.0,standard,points,0.7215,17.515073776245117,0.4278339445590973,0.5606091618537903,,
